,Alter bei Riss,Geburt,Liga,Name,Position,Rissdatum,Rissdatum dezimal,Saison,Verein,Verletzungszeit,Webseite
591,28,1981-12-11,1-bundesliga,Mohamed Zidan,Hängende Spitze                            ,2010-04-18,2010.295890410959,09,Borussia Dortmund,211,https://www.transfermarkt.ch/mohamed-zidan/verletzungen/spieler/17275
592,20,1996-04-14,eredivisie,Patrick Joosten,Linksaußen                            ,2017-03-01,2017.1671232876713,16,FC Utrecht,351,https://www.transfermarkt.ch/patrick-joosten/verletzungen/spieler/317593
593,23,1988-09-26,1-hnl,Kreso Ljubicic,Zentrales Mittelfeld                            ,2012-04-19,2012.2986301369863,11,HNK Hajduk Split,183,https://www.transfermarkt.ch/kreso-ljubicic/verletzungen/spieler/39958
594,26,1991-02-12,3-liga,Maurice Exslager,Mittelstürmer                            ,2017-09-04,2017.668493150685,17,SC Fortuna Köln,265,https://www.transfermarkt.ch/maurice-exslager/verletzungen/spieler/83423
595,25,1991-02-12,3-liga,Maurice Exslager,Mittelstürmer                            ,2017-02-11,2017.1123287671232,16,SC Fortuna Köln,204,https://www.transfermarkt.ch/maurice-exslager/verletzungen/spieler/83423
596,18,1996-07-20,2-liga,Dominik Baumgartner,Innenverteidiger                            ,2015-05-01,2015.331506849315,14,SV Horn,244,https://www.transfermarkt.ch/dominik-baumgartner/verletzungen/spieler/206906
597,17,1996-07-20,2-liga,Dominik Baumgartner,Innenverteidiger                            ,2014-02-28,2014.158904109589,13,SV Horn,304,https://www.transfermarkt.ch/dominik-baumgartner/verletzungen/spieler/206906
598,22,1991-03-17,2-liga-ost,Lukasz Skowron,Torwart                            ,2013-11-17,2013.868493150685,13,Radomiak Radom,195,https://www.transfermarkt.ch/lukasz-skowron/verletzungen/spieler/64464
599,24,1983-12-28,laliga,Álvaro Antón,Offensives Mittelfeld                            ,2008-11-09,2008.8465753424657,08,CD Numancia ,173,https://www.transfermarkt.ch/alvaro-anton/verletzungen/spieler/29086
600,25,1991-03-24,2-liga,Remo Mally,Innenverteidiger                            ,2016-08-20,2016.6301369863013,16,SC Wiener Neustadt,334,https://www.transfermarkt.ch/remo-mally/verletzungen/spieler/59088
601,21,1989-08-28,ligue-1,César Azpilicueta,Rechter Verteidiger                            ,2010-11-27,2010.8958904109588,10,Olympique Marseille,169,https://www.transfermarkt.ch/cesar-azpilicueta/verletzungen/spieler/57500
602,19,1999-01-04,premier-league,Daniel Arzani,Linksaußen                            ,2018-10-31,2018.8246575342466,18,Celtic Glasgow,222,https://www.transfermarkt.ch/daniel-arzani/verletzungen/spieler/399997
603,21,1986-07-02,2-bundesliga,Florian Fromlowitz,Torwart                            ,2007-10-19,2007.7917808219179,07,1.FC Kaiserslautern,255,https://www.transfermarkt.ch/florian-fromlowitz/verletzungen/spieler/3612
604,27,1981-08-16,eredivisie,Karim Bridji,Offensives Mittelfeld                            ,2008-11-10,2008.849315068493,08,Heracles Almelo,264,https://www.transfermarkt.ch/karim-bridji/verletzungen/spieler/7953
605,32,1981-04-19,keuken-kampioen-divisie,Alair Cruz Vicente,Linker Verteidiger                            ,2013-09-22,2013.717808219178,13,FC Den Bosch,204,https://www.transfermarkt.ch/alair-cruz-vicente/verletzungen/spieler/4689
606,23,1990-08-17,bundesliga,Philipp Hütter,Rechtes Mittelfeld                            ,2014-04-01,2014.2493150684932,13,SK Sturm Graz,183,https://www.transfermarkt.ch/philipp-hutter/verletzungen/spieler/55566
607,22,1990-08-17,bundesliga,Philipp Hütter,Rechtes Mittelfeld                            ,2013-05-15,2013.3698630136987,12,SK Sturm Graz,92 ,https://www.transfermarkt.ch/philipp-hutter/verletzungen/spieler/55566
608,28,1987-06-03,serie-c-girone-a,Domenico Germinale,Mittelstürmer                            ,2015-11-22,2015.8821917808218,15,Bassano Virtus 55 ST,185,https://www.transfermarkt.ch/domenico-germinale/verletzungen/spieler/39984
609,20,1998-04-23,*]]>*,Bruno Paz,Defensives Mittelfeld                            ,2019-04-15,2019.2876712328766,18,Sporting Lissabon U23,0,https://www.transfermarkt.ch/bruno-paz/verletzungen/spieler/314963
610,21,1990-01-17,eredivisie,Kaj Ramsteijn,Innenverteidiger                            ,2011-09-26,2011.7287671232878,11,Feyenoord Rotterdam,276,https://www.transfermarkt.ch/kaj-ramsteijn/verletzungen/spieler/84902
611,27,1991-07-05,super-league-1,Konstantinos Peristeridis,Torwart                            ,2018-08-09,2018.6,18,PAS Giannina,176,https://www.transfermarkt.ch/konstantinos-peristeridis/verletzungen/spieler/160893
612,25,1991-07-05,super-league-1,Konstantinos Peristeridis,Torwart                            ,2017-05-05,2017.3424657534247,16,PAS Giannina,185,https://www.transfermarkt.ch/konstantinos-peristeridis/verletzungen/spieler/160893
613,24,1992-11-27,bundesliga,Daniel Petrovic,Innenverteidiger                            ,2017-10-22,2017.8,17,SKN St. Pölten,251,https://www.transfermarkt.ch/daniel-petrovic/verletzungen/spieler/121699
614,27,1991-05-27,laliga,Armando Sadiku,Mittelstürmer                            ,2018-08-05,2018.5890410958905,18,UD Levante,169,https://www.transfermarkt.ch/armando-sadiku/verletzungen/spieler/140082
615,22,1991-05-27,super-league,Armando Sadiku,Mittelstürmer                            ,2014-05-10,2014.3561643835617,14,FC Zürich,204,https://www.transfermarkt.ch/armando-sadiku/verletzungen/spieler/140082
616,19,1989-05-20,ligue-1,Loïc Nestor,Innenverteidiger                            ,2009-02-21,2009.1397260273973,08,AC Le Havre,160,https://www.transfermarkt.ch/loic-nestor/verletzungen/spieler/66490
617,33,1984-03-09,*]]>*, Gilmar,Mittelstürmer                            ,2017-10-10,2017.7671232876712,17,Clube Náutico Capibaribe,304,https://www.transfermarkt.ch/gilmar/verletzungen/spieler/76117
618,36,1973-04-09,jupiler-pro-league,Bart Goor,Linkes Mittelfeld                            ,2010-01-23,2010.0630136986301,09,Germinal Beerschot Antwerpen,190,https://www.transfermarkt.ch/bart-goor/verletzungen/spieler/915
619,20,1989-07-03,laliga,Iván Bolado,Mittelstürmer                            ,2009-07-26,2009.5643835616438,09,Racing Santander,218,https://www.transfermarkt.ch/ivan-bolado/verletzungen/spieler/57675
620,28,1990-05-20,liga-nos, Anderson Carvalho,Zentrales Mittelfeld                            ,2019-01-21,2019.0575342465754,18,CD Santa Clara,0,https://www.transfermarkt.ch/anderson-carvalho/verletzungen/spieler/176997
621,24,1994-08-03,1-bundesliga,Corentin Tolisso,Zentrales Mittelfeld                            ,2018-09-16,2018.7013698630137,18,FC Bayern München,190,https://www.transfermarkt.ch/corentin-tolisso/verletzungen/spieler/190393
622,29,1988-12-29,1-landesliga-niederosterreich,Markus Posch,Torwart                            ,2018-09-25,2018.7260273972602,18,FC Rohrendorf,0,https://www.transfermarkt.ch/markus-posch/verletzungen/spieler/77409
